iter	Passed	Remaining
399	34549	138199
400	34625	138069
401	34698	137930
402	34773	137800
403	34845	137657
404	34923	137538
405	34999	137410
406	35073	137276
407	35148	137147
408	35219	137001
409	35296	136879
410	35370	136747
411	35446	136622
412	35527	136517
413	35611	136425
414	35704	136363
415	35789	136276
416	35873	136183
417	35948	136055
418	36025	135935
419	36098	135800
420	36174	135674
421	36252	135558
422	36329	135439
423	36402	135308
424	36484	135206
425	36570	135120
426	36665	135068
427	36746	134965
428	36832	134880
429	36913	134777
430	36989	134654
431	37067	134541
432	37142	134415
433	37215	134285
434	37289	134156
435	37367	134043
436	37438	133904
437	37516	133790
438	37590	133664
439	37666	133546
440	37738	133410
441	37812	133285
442	37888	133165
443	37962	133038
444	38039	132923
445	38110	132789
446	38187	132673
447	38265	132564
448	38341	132443
449	38414	132317
450	38491	132202
451	38565	132077
452	38644	131971
453	38720	131852
454	38798	131744
455	38872	131620
456	38946	131497
457	39023	131384
458	39099	131268
459	39171	131138
460	39250	131033
461	39324	130911
462	39405	130811
463	39475	130677
464	39551	130561
465	39637	130479
466	39712	130362
467	39785	130236
468	39861	130123
469	39935	130002
470	40005	129869
471	40077	129741
472	40149	129615
473	40219	129483
474	40298	129377
475	40370	129253
476	40441	129124
477	40512	128996
478	40592	128894
479	40667	128780
480	40743	128669
481	40818	128553
482	40892	128434
483	40968	128323
484	41047	128220
485	41123	128107
486	41194	127983
487	41293	127941
488	41372	127838
489	41447	127726
490	41522	127611
491	41608	127532
492	41672	127382
493	41745	127263
494	41815	127135
495	41885	127008
496	41955	126879
497	42022	126743
498	42092	126614
499	42165	126497
500	42247	126406
501	42326	126304
502	42403	126199
503	42481	126094
504	42561	125997
505	42633	125878
506	42712	125777
507	42788	125671
508	42862	125554
509	42934	125436
510	43004	125311
511	43077	125194
512	43158	125101
513	43235	124994
514	43305	124870
515	43384	124772
516	43460	124666
517	43545	124584
518	43624	124484
519	43703	124385
520	43775	124267
521	43852	124163
522	43925	124048
523	44000	123940
524	44070	123817
525	44146	123710
526	44219	123595
527	44291	123478
528	44363	123361
529	44434	123243
530	44519	123163
531	44594	123054
532	44666	122938
533	44736	122814
534	44811	122707
535	44884	122594
536	44962	122495
537	45037	122387
538	45116	122292
539	45196	122198
540	45280	122115
541	45361	122023
542	45440	121928
543	45531	121863
544	45612	121771
545	45683	121655
546	45758	121547
547	45828	121428
548	45903	121321
549	45974	121204
550	46047	121093
551	46113	120964
552	46190	120862
553	46269	120768
554	46345	120665
555	46423	120566
556	46503	120473
557	46574	120360
558	46646	120246
559	46721	120141
560	46794	120031
561	46868	119923
562	46944	119822
563	47021	119721
564	47096	119616
565	47173	119517
566	47244	119403
567	47321	119303
568	47394	119193
569	47475	119104
570	47555	119014
571	47636	118924
572	47716	118832
573	47796	118741
574	47874	118644
575	47956	118557
576	48028	118449
577	48103	118344
578	48176	118236
579	48250	118129
580	48325	118027
581	48400	117924
582	48473	117817
583	48544	117704
584	48634	117637
585	48701	117514
586	48773	117404
587	48857	117323
588	48937	117233
589	49009	117124
590	49087	117029
591	49168	116940
592	49241	116834
593	49315	116729
594	49384	116614
595	49465	116526
596	49542	116429
597	49612	116314
598	49682	116202
599	49756	116097
600	49825	115983
601	49909	115903
602	49984	115801
603	50058	115697
604	50130	115589
605	50204	115486
606	50275	115377
607	50347	115269
608	50425	115176
609	50504	115082
610	50568	114959
611	50642	114856
612	50714	114749
613	50789	114648
614	50869	114560
615	50942	114454
616	51013	114346
617	51082	114233
618	51156	114130
619	51229	114027
620	51299	113915
621	51365	113796
622	51438	113693
623	51507	113581
624	51576	113469
625	51646	113358
626	51715	113246
627	51784	113133
628	51856	113028
629	51927	112920
630	51996	112811
631	52060	112688
632	52128	112574
633	52200	112469
634	52268	112357
635	52338	112248
636	52411	112145
637	52478	112031
638	52547	111919
639	52619	111815
640	52680	111689
641	52752	111585
642	52821	111476
643	52887	111359
644	52954	111244
645	53022	111134
646	53098	111039
647	53168	110931
648	53242	110833
